"Tabela 21 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2002 (Série encerrada)"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Brasil e Município";"Ano"
"Brasil e Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"Chaves (PA)";"26334";"31802";"38132";"43368";"46792";"50952";"51164";"56477";"64173";"68360";"77932";"82611";"94898"
"Colares (PA)";"11752";"14498";"16531";"18484";"20979";"22977";"24732";"27357";"32323";"37361";"41384";"42252";"47252"
"Conceição do Araguaia (PA)";"95435";"129114";"126871";"159265";"152106";"170707";"201717";"248806";"229598";"231062";"269665";"309974";"356965"
"Concórdia do Pará (PA)";"26566";"27935";"33846";"43014";"45247";"53032";"62007";"68151";"72022";"85416";"103177";"122541";"146684"
"Cumaru do Norte (PA)";"20913";"33734";"36170";"39891";"51175";"69897";"81682";"81429";"80869";"81902";"99546";"120283";"164538"
"Curionópolis (PA)";"31925";"34156";"38987";"43410";"49363";"55134";"66212";"77569";"82572";"86086";"104249";"131997";"179541"
"Curralinho (PA)";"15925";"19863";"23643";"26768";"29505";"33317";"38166";"43801";"51093";"55741";"65130";"71909";"81169"
"Curuá (PA)";"11915";"14469";"17563";"20965";"23678";"27341";"33190";"34839";"44342";"51893";"64236";"55185";"62962"
"Curuçá (PA)";"27539";"34384";"38457";"45995";"52390";"62198";"72707";"76115";"85646";"106273";"121920";"134111";"141153"
"Dom Eliseu (PA)";"118968";"107969";"140003";"166015";"169092";"174632";"192787";"196205";"216302";"230397";"271720";"317802";"356819"
"Eldorado do Carajás (PA)";"32181";"41923";"54830";"67319";"88685";"108912";"122220";"132186";"135075";"162551";"200268";"204112";"211475"
"Faro (PA)";"9400";"11569";"13521";"15407";"17861";"20410";"26315";"31653";"36114";"40245";"44037";"29266";"31860"
"Floresta do Araguaia (PA)";"41742";"59985";"52371";"83669";"84869";"94322";"82212";"105018";"142702";"178906";"289729";"355584";"387606"
"Garrafão do Norte (PA)";"20008";"27784";"33391";"37232";"44858";"48756";"57829";"60991";"70792";"75095";"91110";"90336";"106356"
"Goianésia do Pará (PA)";"34958";"45594";"60815";"67279";"80474";"95087";"112411";"131199";"129463";"128145";"147648";"156321";"185313"
"Gurupá (PA)";"29470";"32213";"42714";"43195";"41816";"47291";"56414";"64908";"71269";"79381";"93580";"97476";"108480"
"Igarapé-Açu (PA)";"42060";"45839";"58696";"61357";"65186";"69386";"75272";"89166";"97315";"107401";"124744";"184013";"170713"
"Igarapé-Miri (PA)";"51110";"59673";"76116";"86555";"99919";"110786";"116657";"126290";"140413";"156151";"177506";"197907";"218356"
"Inhangapi (PA)";"9163";"12260";"13825";"17577";"19549";"21863";"23650";"27206";"30300";"32459";"36438";"41505";"44412"
"Ipixuna do Pará (PA)";"67629";"101275";"117010";"138111";"145618";"156037";"159909";"175647";"227399";"221073";"317447";"381366";"350346"
"Irituia (PA)";"34093";"37153";"42261";"49191";"52455";"56232";"60503";"69387";"74279";"81544";"92573";"99955";"110868"
"Itaituba (PA)";"143630";"197533";"244762";"319115";"388447";"390826";"457823";"539072";"580614";"608365";"650325";"734080";"793670"
"Itupiranga (PA)";"48245";"62909";"80348";"96988";"123096";"139073";"153282";"157635";"168623";"188618";"218511";"241223";"271716"
"Jacareacanga (PA)";"19114";"24092";"28955";"35027";"40113";"43949";"49347";"57488";"68732";"80792";"53721";"63701";"85751"
"Jacundá (PA)";"66208";"73085";"93576";"104409";"133233";"155023";"172572";"190391";"200142";"222203";"246172";"252759";"287314"
"Juruti (PA)";"35493";"43231";"52898";"66308";"68351";"69827";"85006";"130584";"210799";"272600";"564136";"490871";"495803"
"Limoeiro do Ajuru (PA)";"30264";"37254";"43600";"35579";"37110";"43563";"49220";"55547";"63310";"78205";"94581";"104948";"126932"
"Mãe do Rio (PA)";"55856";"62028";"63217";"67439";"65051";"78471";"90051";"119007";"135223";"145036";"153919";"152449";"172337"
"Magalhães Barata (PA)";"7383";"10159";"11145";"12095";"13292";"15904";"16219";"17478";"20734";"23340";"27920";"29448";"35668"
"Marabá (PA)";"572172";"825566";"856300";"1186193";"1817564";"2081267";"2618914";"3093030";"3594594";"3081124";"3562534";"3740664";"4423290"
"Maracanã (PA)";"29268";"34814";"38609";"44842";"51054";"57936";"67360";"77451";"85455";"94677";"106257";"117311";"122694"
"Marapanim (PA)";"29964";"36910";"43205";"49767";"55755";"60863";"65733";"71788";"79175";"95856";"103860";"111888";"119223"
"Marituba (PA)";"101310";"146499";"198845";"226910";"287692";"303285";"320109";"427647";"469999";"520842";"634520";"731436";"887599"
"Medicilândia (PA)";"38604";"44406";"67913";"64324";"69131";"79401";"85780";"98855";"102895";"134930";"163724";"172641";"188519"
"Melgaço (PA)";"19442";"24061";"27021";"29788";"33204";"37701";"40022";"42527";"46727";"49302";"71900";"79874";"92345"
"Mocajuba (PA)";"33739";"42663";"46378";"45616";"44944";"51494";"53469";"61662";"64389";"78251";"94380";"100688";"124501"
"Moju (PA)";"57766";"75416";"85898";"106219";"120856";"134964";"159302";"207842";"224802";"235248";"273113";"305184";"444619"
"Monte Alegre (PA)";"74235";"87813";"116822";"139703";"156863";"166583";"189089";"220311";"269257";"253544";"286907";"284849";"310730"
"Muaná (PA)";"26701";"30942";"35881";"37892";"41053";"44943";"50862";"57936";"67061";"72840";"88782";"101345";"113005"
"Nova Esperança do Piriá (PA)";"15019";"19155";"24061";"26752";"33235";"37446";"41848";"47333";"53242";"69276";"70648";"83116";"81844"
"Nova Ipixuna (PA)";"14134";"17438";"20314";"24167";"28214";"35517";"39816";"45084";"51746";"54033";"62329";"69486";"78589"
"Nova Timboteua (PA)";"14981";"16578";"19149";"21631";"24497";"25689";"28040";"30571";"37374";"44804";"49751";"56015";"61768"
"Novo Progresso (PA)";"33735";"62073";"75740";"90809";"116265";"128649";"146708";"160594";"143735";"150715";"221656";"255563";"268314"
"Novo Repartimento (PA)";"67838";"77416";"105938";"131615";"152719";"177967";"184076";"202926";"208101";"238276";"305633";"352104";"420785"
"Óbidos (PA)";"73109";"87721";"102565";"117822";"129557";"138348";"152823";"171300";"188613";"205563";"252304";"239568";"264040"
"Oeiras do Pará (PA)";"33332";"47908";"45219";"45092";"44026";"52231";"57458";"66116";"73365";"89643";"112831";"122672";"129520"
"Oriximiná (PA)";"442447";"478297";"479543";"634960";"764588";"777130";"631717";"654261";"1170263";"852133";"1212213";"1332262";"1174342"
"Ourém (PA)";"16732";"19533";"22623";"25078";"28367";"30907";"36621";"40395";"44279";"49296";"57589";"72010";"77232"
"Ourilândia do Norte (PA)";"37980";"51422";"50836";"58779";"62744";"69578";"86493";"135916";"234720";"217923";"253837";"615906";"621700"
"Pacajá (PA)";"40136";"55083";"58466";"70690";"76224";"86754";"105861";"134413";"148959";"158525";"188862";"211800";"257025"
"Palestina do Pará (PA)";"11000";"11685";"13572";"16015";"19183";"21653";"21845";"25152";"27762";"30276";"35176";"38040";"41387"
"Paragominas (PA)";"277276";"298717";"454841";"481146";"468227";"514883";"576464";"688100";"851623";"881230";"1237012";"1315490";"1557692"
"Parauapebas (PA)";"1547692";"1431440";"1455764";"1818342";"2301187";"2615878";"2997778";"3074977";"6568760";"5634291";"15947709";"19892879";"16733726"
"Pau D'Arco (PA)";"17489";"20276";"23264";"25625";"26203";"28946";"30009";"32046";"34376";"36431";"38612";"43364";"47775"
"Peixe-Boi (PA)";"8191";"10472";"12149";"13219";"13878";"14919";"18151";"18634";"20487";"23855";"26521";"29851";"33412"
"Piçarra (PA)";"37806";"48061";"57642";"69821";"65146";"65842";"67233";"68657";"74048";"76980";"93554";"105028";"128020"
"Placas (PA)";"18701";"24776";"33236";"30067";"33436";"37679";"38985";"48192";"54531";"63547";"85246";"91484";"105638"
"Ponta de Pedras (PA)";"27046";"30094";"36418";"37955";"38738";"41465";"50744";"62184";"67106";"76132";"88567";"99682";"108524"
"Portel (PA)";"65339";"85893";"100750";"97229";"99660";"110337";"122777";"154948";"154690";"167048";"190382";"190341";"246850"
"Porto de Moz (PA)";"31889";"40844";"47070";"50451";"48699";"53188";"62512";"71765";"75225";"76267";"109856";"128485";"143395"
"Prainha (PA)";"35173";"41840";"55807";"66441";"79612";"87126";"95525";"89709";"93069";"109412";"127877";"127283";"161934"
"Primavera (PA)";"9384";"10437";"11730";"13150";"14475";"15934";"19573";"20692";"24181";"31401";"33572";"37351";"43058"
"Quatipuru (PA)";"14330";"16881";"20129";"22539";"25312";"27855";"35505";"39528";"43174";"47859";"51566";"54094";"57678"
"Redenção (PA)";"202794";"261200";"340325";"340448";"375971";"412241";"465704";"537683";"552216";"576458";"652784";"679253";"783926"
"Rio Maria (PA)";"49723";"57341";"63750";"72874";"98764";"106143";"135582";"143574";"165140";"172683";"210295";"205076";"234801"
"Rondon do Pará (PA)";"102179";"114020";"143191";"157413";"174736";"190112";"203007";"228657";"234794";"245878";"272048";"305267";"311463"
"Rurópolis (PA)";"29651";"37231";"47620";"53743";"61588";"65651";"71497";"90105";"98410";"108151";"134300";"150470";"163293"
"Salinópolis (PA)";"56503";"61968";"72451";"84187";"92358";"103204";"119787";"130443";"139040";"156418";"167579";"184193";"204652"
"Salvaterra (PA)";"18253";"23813";"28654";"32530";"37110";"42062";"48094";"55984";"61475";"69672";"81446";"89453";"96987"
"Santa Bárbara do Pará (PA)";"20160";"23293";"29168";"33186";"32991";"36415";"42892";"53364";"56779";"59690";"67085";"75120";"86745"
"Santa Cruz do Arari (PA)";"7886";"10944";"11205";"12108";"12926";"14873";"17078";"17281";"19943";"22385";"28852";"32009";"35900"
"Santa Izabel do Pará (PA)";"70148";"91931";"122414";"150259";"156869";"174493";"180215";"213635";"239855";"279681";"317065";"376577";"408373"
"Santa Luzia do Pará (PA)";"18564";"24518";"24822";"29017";"32569";"35979";"42038";"50422";"54744";"58531";"66472";"71109";"80673"
"Santa Maria das Barreiras (PA)";"36605";"40894";"51602";"59275";"68446";"82151";"92100";"99978";"96480";"92108";"103666";"123667";"153458"
"Santa Maria do Pará (PA)";"27880";"30067";"41429";"43955";"52557";"50488";"61100";"78122";"90147";"100015";"107499";"120158";"128971"
"Santana do Araguaia (PA)";"73805";"128467";"128129";"163510";"183578";"205247";"221961";"251570";"275594";"287740";"316746";"354763";"389624"
"Santarém (PA)";"484373";"638791";"766514";"973175";"1204751";"1271350";"1430661";"1530441";"1636460";"1769395";"2054408";"2198613";"2510123"
"Santarém Novo (PA)";"5992";"7293";"9753";"10919";"12718";"13077";"13639";"15375";"17205";"21171";"23607";"24928";"27111"
"Santo Antônio do Tauá (PA)";"31103";"35788";"42555";"59414";"58906";"62957";"73415";"81647";"88155";"104485";"105768";"127082";"138401"
"São Caetano de Odivelas (PA)";"22690";"29753";"30959";"33730";"38113";"39976";"45222";"57718";"52818";"58615";"66433";"74788";"82734"
"São Domingos do Araguaia (PA)";"27452";"34060";"41384";"48119";"61642";"68705";"73680";"77736";"83265";"92982";"108578";"120272";"146846"
"São Domingos do Capim (PA)";"25302";"30225";"34473";"42011";"46576";"49799";"60206";"82226";"67451";"85414";"104397";"116639";"128043"
"São Félix do Xingu (PA)";"122520";"149400";"197860";"219465";"220191";"251790";"291385";"345610";"357323";"374201";"528931";"659339";"724489"
"São Francisco do Pará (PA)";"18968";"21011";"23733";"28832";"28329";"32852";"33239";"41891";"44595";"52068";"65359";"64683";"76150"
"São Geraldo do Araguaia (PA)";"58790";"61484";"67460";"77831";"95643";"104521";"110167";"122075";"125707";"130608";"157264";"176776";"201668"
"São João da Ponta (PA)";"5633";"6779";"7992";"8647";"10470";"11669";"11848";"15758";"15642";"17324";"19329";"20865";"22314"
"São João de Pirabas (PA)";"18301";"22701";"26702";"31376";"35557";"40780";"50796";"54306";"58238";"66400";"77374";"84925";"92357"
"São João do Araguaia (PA)";"13004";"16094";"19625";"23534";"28689";"33957";"38039";"35697";"39915";"43052";"50036";"56745";"66393"
"São Miguel do Guamá (PA)";"57609";"64667";"79779";"83468";"96599";"102904";"110336";"133881";"143225";"172220";"202473";"213543";"230750"
"São Sebastião da Boa Vista (PA)";"16278";"23042";"28384";"28476";"30194";"33470";"38017";"43959";"48976";"54776";"71573";"79338";"87060"
"Sapucaia (PA)";"31537";"32747";"24629";"28098";"29303";"31421";"34908";"41021";"42623";"43965";"42806";"46645";"49710"
"Senador José Porfírio (PA)";"19348";"23062";"25243";"28252";"29534";"33783";"39700";"45109";"48237";"50180";"53464";"59775";"68941"
"Soure (PA)";"33074";"35493";"43488";"46668";"49343";"56990";"62020";"68925";"72987";"81758";"93315";"99011";"111810"
"Tailândia (PA)";"119804";"139022";"163925";"192897";"242890";"254944";"257375";"280060";"325378";"354226";"429427";"425889";"426736"
"Terra Alta (PA)";"9558";"9996";"11588";"13254";"15643";"17750";"18129";"21691";"24189";"27175";"29728";"32554";"35800"
"Terra Santa (PA)";"18479";"21760";"25059";"28980";"31830";"36319";"39178";"42395";"48261";"55228";"64283";"72035";"79828"
"Tomé-Açu (PA)";"81532";"103784";"120190";"126204";"136512";"156222";"177408";"208645";"212035";"227361";"269835";"312001";"343622"
"Tracuateua (PA)";"20446";"25908";"30628";"35636";"37785";"42273";"50113";"61676";"65696";"69577";"82865";"94473";"105120"
"Trairão (PA)";"18154";"26211";"28109";"35165";"40015";"41395";"45852";"55361";"61036";"69128";"76604";"91433";"111590"
"Tucumã (PA)";"62483";"80930";"94210";"107073";"119512";"123447";"165893";"197119";"226971";"246194";"306422";"325779";"340282"
"Tucuruí (PA)";"421239";"948121";"1214500";"1242843";"1516136";"1822953";"2074425";"2435208";"2588891";"1901476";"2817234";"2571406";"2722134"
"Ulianópolis (PA)";"61623";"89065";"107345";"115870";"142982";"142861";"149851";"164391";"164806";"173820";"206463";"211310";"239769"
"Uruará (PA)";"51576";"78755";"99739";"107095";"119958";"146591";"148711";"165744";"176342";"182390";"206369";"247811";"268189"
"Vigia (PA)";"48778";"60332";"64768";"95123";"88300";"98161";"118880";"132042";"138197";"164843";"183665";"199203";"218723"
"Viseu (PA)";"50925";"61946";"69749";"83038";"89149";"99126";"112429";"125556";"142137";"158987";"186972";"214259";"238875"
"Vitória do Xingu (PA)";"23168";"42737";"45685";"53040";"59392";"58898";"63071";"64679";"69277";"72550";"87437";"96620";"148789"
"Xinguara (PA)";"116743";"202976";"176920";"236625";"255098";"289466";"375595";"407508";"362742";"422445";"475189";"575882";"625907"
"Serra do Navio (AP)";"22971";"24424";"28112";"23816";"23508";"62759";"106918";"125618";"145867";"153747";"66688";"71461";"101175"
"Amapá (AP)";"28317";"35253";"37228";"39248";"42633";"48572";"60284";"72486";"72571";"80917";"90074";"93669";"106494"
"Pedra Branca do Amapari (AP)";"17856";"20393";"25718";"24159";"32176";"41397";"54376";"79350";"93511";"104035";"255467";"279832";"269988"
"Calçoene (AP)";"24340";"31041";"37330";"41033";"48359";"53927";"68871";"80932";"86238";"104627";"111485";"127095";"149671"
"Cutias (AP)";"13939";"16601";"19937";"21731";"24771";"30007";"27833";"31200";"46257";"50694";"63628";"67815";"75476"
"Ferreira Gomes (AP)";"13575";"15873";"18308";"18976";"21308";"24990";"32734";"41288";"72794";"69648";"80457";"89281";"122276"
"Itaubal (AP)";"8947";"11088";"14326";"15107";"17310";"20869";"23877";"23989";"29895";"32058";"37931";"42328";"49147"
"Laranjal do Jari (AP)";"91965";"110259";"126238";"136510";"155571";"183791";"222648";"256101";"306346";"322663";"356037";"402605";"466827"
"Macapá (AP)";"1546657";"1833132";"2198919";"2222756";"2494443";"2767841";"3364998";"3815987";"4282877";"4670342";"5194443";"5625727";"6453597"
"Mazagão (AP)";"38110";"44062";"49567";"52451";"61159";"67484";"82661";"94764";"104340";"114930";"137617";"150094";"176336"
"Oiapoque (AP)";"47133";"62579";"74521";"87799";"119720";"142084";"170206";"198377";"215280";"230104";"236254";"264594";"290832"
"Porto Grande (AP)";"56609";"75637";"81735";"85461";"90267";"104940";"120440";"131407";"131759";"143622";"171252";"188326";"226635"
"Pracuúba (AP)";"9330";"10910";"12214";"12981";"14475";"16932";"21001";"26487";"31527";"32163";"37114";"42803";"50290"
"Santana (AP)";"384973";"444350";"484982";"570962";"603079";"679387";"764918";"879176";"962890";"1075577";"1188697";"1275712";"1594983"
"Tartarugalzinho (AP)";"23304";"32695";"42405";"38025";"47957";"58585";"67215";"87660";"101218";"119929";"122475";"124460";"147649"
"Vitória do Jari (AP)";"29010";"33627";"39994";"43091";"49391";"57690";"71035";"77307";"81464";"99334";"116346";"122230";"138163"
"Abreulândia (TO)";"5484";"8128";"7336";"8767";"9345";"10672";"12214";"14225";"15975";"17492";"19130";"20649";"22770"
"Aguiarnópolis (TO)";"8955";"18761";"31089";"29422";"26599";"22713";"27724";"34172";"52532";"56944";"64614";"68695";"76393"
"Aliança do Tocantins (TO)";"21794";"21308";"21392";"33994";"34817";"31810";"32421";"33680";"39739";"44606";"52479";"52441";"53860"
"Almas (TO)";"15771";"17363";"18312";"23271";"27092";"34390";"29039";"31471";"38314";"40727";"47410";"51832";"56420"
"Alvorada (TO)";"26908";"31270";"34620";"45203";"51226";"57201";"72857";"83068";"109084";"122983";"148171";"171231";"208233"
"Ananás (TO)";"21738";"28396";"32291";"39603";"45087";"48327";"48562";"50922";"54957";"59568";"67676";"71684";"77478"
"Angico (TO)";"4462";"5805";"6561";"9359";"10504";"11384";"13264";"14951";"16465";"19856";"23883";"24346";"24542"
"Aparecida do Rio Negro (TO)";"6580";"9507";"11688";"17279";"23619";"25332";"24210";"25504";"29992";"40641";"39516";"57607";"55566"
"Aragominas (TO)";"11894";"15118";"17762";"26385";"27614";"30503";"32720";"33514";"34339";"38773";"45103";"46799";"50069"
"Araguacema (TO)";"12352";"17842";"16804";"20415";"23119";"26366";"26121";"28617";"33375";"38075";"43507";"49607";"55157"
"Araguaçu (TO)";"34066";"41798";"46778";"68201";"71069";"70223";"76005";"84306";"97297";"106998";"117701";"117742";"127770"
"Araguaína (TO)";"443060";"571508";"644242";"822025";"963743";"1074219";"1172943";"1258661";"1449014";"1584019";"1922899";"1998409";"2201523"
"Araguanã (TO)";"11199";"12601";"14022";"18546";"24491";"28143";"25982";"28938";"33927";"37914";"44136";"44269";"47801"
"Araguatins (TO)";"45305";"55371";"67610";"77525";"86933";"90798";"102880";"112083";"129528";"152975";"199145";"206016";"227387"
"Arapoema (TO)";"20583";"25839";"30533";"36189";"38942";"42210";"45854";"52813";"59304";"62508";"66170";"67546";"75824"
"Arraias (TO)";"26133";"34828";"38791";"48510";"53606";"61229";"71474";"74605";"93436";"139800";"146467";"129036";"130823"
"Augustinópolis (TO)";"18835";"27513";"31540";"39969";"43667";"50785";"60097";"64918";"79280";"87349";"101769";"113225";"125942"
"Aurora do Tocantins (TO)";"7560";"9725";"10931";"14452";"13611";"15129";"17077";"19751";"23360";"26227";"28273";"29688";"31304"
"Axixá do Tocantins (TO)";"13393";"16440";"19858";"23168";"25699";"27334";"31086";"37048";"41369";"47060";"54211";"57469";"62366"
"Babaçulândia (TO)";"15245";"17970";"20703";"26855";"34877";"40542";"41202";"49354";"67503";"92922";"92169";"71753";"66375"
"Bandeirantes do Tocantins (TO)";"12983";"16984";"20980";"27810";"39434";"32315";"34670";"37529";"51909";"49511";"54434";"79155";"62240"
"Barra do Ouro (TO)";"4471";"5936";"7847";"11368";"12779";"16604";"17256";"18482";"23079";"26874";"32490";"35303";"41063"
"Barrolândia (TO)";"12942";"14718";"17781";"20958";"23731";"27252";"29892";"32569";"37991";"36351";"42266";"47231";"47512"
"Bernardo Sayão (TO)";"15837";"22082";"23658";"28558";"29448";"32548";"34573";"39291";"46546";"49782";"52770";"50487";"53548"
"Bom Jesus do Tocantins (TO)";"5729";"9555";"10022";"13587";"17361";"19514";"16377";"19252";"25685";"35833";"35782";"37153";"45467"
"Brasilândia do Tocantins (TO)";"5057";"6551";"7748";"10684";"16733";"21411";"19099";"23121";"23136";"26686";"23627";"25130";"27185"
"Brejinho de Nazaré (TO)";"11908";"18332";"20421";"29874";"39219";"34433";"32787";"36685";"44967";"57356";"58607";"72537";"70295"
"Buriti do Tocantins (TO)";"8917";"12220";"14769";"19072";"22874";"23210";"27437";"31794";"34723";"39749";"49747";"53287";"57171"
"Cachoeirinha (TO)";"2485";"3559";"4652";"6304";"6924";"7638";"8360";"9868";"11071";"12022";"13622";"13653";"14870"
"Campos Lindos (TO)";"21665";"27981";"56347";"102653";"96203";"128673";"111367";"159521";"210349";"226921";"246225";"254341";"350445"
"Cariri do Tocantins (TO)";"23977";"11558";"14985";"20699";"26588";"36735";"39533";"44514";"53316";"58930";"69643";"87440";"97832"
"Carmolândia (TO)";"6266";"8662";"8154";"10099";"11770";"12584";"14917";"18978";"22612";"24343";"26237";"25734";"25666"
