"Tabela 21 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2002 (Série encerrada)"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Brasil e Município";"Ano"
"Brasil e Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"Presidente Figueiredo (AM)";"80172";"90460";"142743";"195740";"224037";"314071";"344782";"316120";"275560";"304603";"431774";"444240";"534005"
"Rio Preto da Eva (AM)";"27771";"29030";"41549";"47879";"52063";"90724";"118015";"126712";"122936";"216318";"224792";"305313";"372879"
"Santa Isabel do Rio Negro (AM)";"16579";"20354";"27815";"29992";"29923";"24085";"35137";"46790";"54683";"56972";"75527";"86487";"87198"
"Santo Antônio do Içá (AM)";"31002";"36627";"53263";"57269";"61929";"66374";"77205";"81855";"85894";"94028";"100267";"111182";"118289"
"São Gabriel da Cachoeira (AM)";"44635";"47861";"72025";"76355";"87413";"99190";"148701";"162113";"186358";"202146";"179865";"192283";"193264"
"São Paulo de Olivença (AM)";"35240";"39207";"58357";"62730";"70536";"64774";"86894";"93403";"96380";"109404";"131508";"144889";"149044"
"São Sebastião do Uatumã (AM)";"13859";"13861";"16310";"17014";"20278";"20592";"30195";"33007";"29645";"32991";"51171";"64891";"69017"
"Silves (AM)";"18567";"18653";"33799";"35518";"36399";"37924";"43503";"46539";"61007";"66061";"60591";"88720";"79502"
"Tabatinga (AM)";"58136";"60487";"65290";"87395";"88013";"104014";"147282";"159984";"176563";"202777";"239493";"267083";"266069"
"Tapauá (AM)";"24170";"31001";"40500";"38645";"45881";"51170";"66206";"65388";"81766";"87253";"107361";"142687";"141065"
"Tefé (AM)";"117614";"114508";"167746";"129452";"134507";"223772";"285422";"305611";"268935";"293741";"379483";"623732";"556739"
"Tonantins (AM)";"20665";"23864";"32282";"34328";"38358";"38267";"58644";"60138";"62272";"67167";"83919";"101674";"98905"
"Uarini (AM)";"23559";"20580";"35648";"37953";"39853";"60548";"74314";"82487";"62068";"60262";"103750";"87559";"96474"
